1.546700000000000045e+03,-7.152497729411186356e+01
1.546799999999999955e+03,nan
1.546900000000000091e+03,-6.599551332496270106e+01
1.547000000000000000e+03,nan
1.547100000000000136e+03,nan
1.547200000000000045e+03,-5.222933070425835211e+01
1.547299999999999955e+03,-2.549437541158877352e+01
1.547400000000000091e+03,-1.043932683993169874e+01
1.547500000000000000e+03,-7.222142619615963710e+00
1.547600000000000136e+03,-6.776197628073392210e+00
1.547700000000000045e+03,-6.761220982799637014e+00
1.547799999999999955e+03,-6.747124072725440236e+00
1.547900000000000091e+03,-6.732865776615092557e+00
1.548000000000000000e+03,-7.224220972795697193e+00
1.548100000000000136e+03,-1.180205973646141260e+01
1.548200000000000045e+03,-2.346828814688848652e+01
1.548299999999999955e+03,-3.650301684785426914e+01
1.548400000000000091e+03,-4.742659471359692702e+01
1.548500000000000000e+03,-5.535054054320455208e+01
1.548600000000000136e+03,-6.177917746093914531e+01
1.548700000000000045e+03,-6.354018401342320033e+01
